rating,user,date,comment,likes,label UMUX,label,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,clean_text,predicted_umux_label,predicted_umux_dimension,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_category,umux_lite_score_1_7,umux_score_category,is_umux_relevant,topic_id,topic_score,umux_label,umux_dimension
5.0,Ismail MAEIL,2026-04-26 01:43:13,bermanfaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,manfaat,1,Usefulness,0.0,0.0,1.0,0.5423,positive,5.63,high,True,2,0.2741467661435781,1,Usefulness
4.0,Renita Ita,2026-04-26 01:34:28,memuaskan,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,3,0.30015489746959007,1,Usefulness
5.0,sukron muhammad,2026-04-25 16:48:25,membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu,1,Usefulness,0.0,0.0,1.0,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
5.0,Rusdiani Dania,2026-04-25 06:55:25,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
1.0,Muh. Abu Amir,2026-04-25 06:09:36,"Tolong developer nya disupport dong untuk hp Huawei. Sya kasih bintang 1 dlu, klo sudah bisa akan sya full kan bintang nya. Update : masih tidak ada perubahan, aplikasi selalu berhenti dan keluar, device Huawei pura 80",0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,developer nya disupport dong hp huawei sya kasih bintang dlu klo bisa sya full kan bintang nya update tidak ubah aplikasi selalu henti keluar device huawei pura,1,Usefulness,0.077,0.871,0.052,-0.1779,negative,3.47,moderate,True,5,0.0010460554146015137,1,Usefulness
5.0,Andreas Narahawarin,2026-04-25 04:58:20,Membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu,1,Usefulness,0.0,0.0,1.0,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
1.0,Alwi Gunawan,2026-04-25 04:01:17,"aplikasi aneh, saldo ada tapi giliran mau klaim tertulis ""saldo tidak tersedia""",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,aplikasi aneh saldo gilir mau klaim tulis saldo tidak sedia,1,Usefulness,0.338,0.325,0.338,-0.25,negative,3.25,moderate,True,5,0.0012148553797048242,1,Usefulness
5.0,FARRAS ABIYU,2026-04-24 07:26:11,sangat membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,sangat bantu,1,Usefulness,0.0,0.217,0.783,0.5574,positive,5.67,high,True,1,0.1849970895819814,1,Usefulness
4.0,Achmad Fikri,2026-04-24 07:05:18,"Yaa lumayan Sja """"""'",0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,yaa lumayan sja,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,1,0.0,1,Usefulness
5.0,Oesman Batubara,2026-04-24 05:39:05,pelayanan yang sangat memuaskan,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,layan sangat muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True,5,0.1692499469322677,1,Usefulness
