rating,user,date,comment,likes,label UMUX,label,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,clean_text,predicted_umux_label,predicted_umux_dimension,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_category,umux_lite_score_1_7,umux_score_category,is_umux_relevant
5.0,Puput Putriyana,2026-04-26 02:33:49,yoi,0.0,Tidak relevan dengan pertanyaan manapun,0,0,0,0,yoi,0,Tidak relevan dengan UMUX-Lite,0.0,1.0,0.0,0.0,neutral,4.0,moderate,False
1.0,Septyyii,2026-04-26 02:28:27,ga bisa login padhl udh masukin sandi dan email,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tidak bisa login padhl udh masukin sandi email,2,Ease of Use,0.354,0.505,0.141,-0.2732,negative,3.18,moderate,True
5.0,Dani Rahman,2026-04-26 02:02:51,aplikasi jmo tidak bisa di buka & sudah di update masih belum bisa dibuka,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi jmo tidak bisa buka update belum bisa buka,2,Ease of Use,0.336,0.32,0.344,-0.2263,negative,3.32,moderate,True
5.0,Jaya Andy,2026-04-26 02:00:11,proses mudah fitur mudah dipahami dan saya akan tetap terus berlangganan,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,proses mudah fitur mudah paham tetap terus langgan,2,Ease of Use,0.118,0.108,0.774,0.9042,positive,6.71,high,True
5.0,Ismail MAEIL,2026-04-26 01:43:13,bermanfaat,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,manfaat,1,Usefulness,0.0,0.0,1.0,0.5423,positive,5.63,high,True
4.0,Renita Ita,2026-04-26 01:34:28,memuaskan,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,muas,1,Usefulness,0.0,1.0,0.0,0.0,neutral,4.0,moderate,True
5.0,Muhammad Sidiq,2026-04-26 01:24:18,bagi yg faham dg aplikasi akan mudah dimengerti...,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,yg faham dg aplikasi mudah erti,2,Ease of Use,0.0,0.568,0.432,0.5859,positive,5.76,high,True
5.0,nanang sutaryono,2026-04-26 01:20:30,"tiap dibuka ga bisa ,tertulis aplikasi ditutup dan info aplikasi terus . udah download baru , terus ada tulisan begitu . tlg gmn cara bisa aplikasi kebuka🙏",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tiap buka tidak bisa tulis aplikasi tutup info aplikasi terus udah download baru terus tulis tlg gmn cara bisa aplikasi buka,2,Ease of Use,0.256,0.581,0.163,-0.5267,negative,2.42,low,True
5.0,Yopi Leka,2026-04-25 22:35:54,aplikasi jmo tidak bisa di buka,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi jmo tidak bisa buka,2,Ease of Use,0.333,0.455,0.212,-0.2023,negative,3.39,moderate,True
1.0,Nadya Saputri,2026-04-25 19:20:44,ribet ga bisa login lagi,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,ribet tidak bisa login,2,Ease of Use,0.721,0.116,0.163,-0.7003,negative,1.9,low,True
1.0,Juandi Juandi,2026-04-25 19:15:01,kenapa saya tidak bisa masuk ke aplikasi,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,tidak bisa masuk aplikasi,2,Ease of Use,0.393,0.357,0.25,-0.2023,negative,3.39,moderate,True
1.0,Abdul Hafid,2026-04-25 18:43:57,"aplikasi terus berhenti di device xiaomi redmi note 5 pro, udh uninstal dan install ulang tapi tetap masi sama, tolong solusinya dongggg!!!!!!!!!!!!",0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,aplikasi terus henti device xiaomi redmi note pro udh uninstal install ulang tetap mas sama solusi dongggg,2,Ease of Use,0.234,0.697,0.07,-0.5106,negative,2.47,low,True
4.0,Sabiq Aliyah,2026-04-25 18:13:54,kenapa ya jmo saya gak bisa di buka ? udah uninstall dan install ulang bolak balik tp blm bisa kebuka juga tolong dong gimana caranya ?,0.0,Relevan dengan P1 (mudah digunakan),1,1,0,2,jmo tidak bisa buka udah uninstall install ulang bolak balik tp blm bisa buka dong gimana cara,0,Tidak relevan dengan UMUX-Lite,0.336,0.48,0.183,-0.6705,negative,1.99,low,False
5.0,sukron muhammad,2026-04-25 16:48:25,membantu,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0,1,1,bantu,1,Usefulness,0.0,0.0,1.0,0.5574,positive,5.67,high,True
