comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_correct,error_type,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant
memuaskan,muas,1,0,2,Ease of Use,1,Usefulness,False,actual_2_predicted_1,neutral,0.0,4.0,4.0,Renita Ita,2026-04-26 01:34:28,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,1.0,0.0,moderate,True
kenapa ya jmo saya gak bisa di buka ? udah uninstall dan install ulang bolak balik tp blm bisa kebuka juga tolong dong gimana caranya ?,jmo tidak bisa buka udah uninstall install ulang bolak balik tp blm bisa buka dong gimana cara,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,negative,-0.6705,1.99,4.0,Sabiq Aliyah,2026-04-25 18:13:54,0.0,Relevan dengan P1 (mudah digunakan),1,0.336,0.48,0.183,low,False
Bagus,bagus,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.5267,5.58,3.0,Sapriadi Nst,2026-04-25 11:54:31,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
bagus,bagus,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.5267,5.58,5.0,Sianturi Jrt,2026-04-25 09:06:09,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
"tulung dibaca ya tulunggg....inj parah kenapa aplikasi JMO tidak bisa dibuka di perangkat android saya, dibuka selalu force close trus kenapa bisa seperti ini, bagaimana saya mw ngecek saldo JHT saya kl gini terus?? tolong ditanggapi keluhan saya agar diperbaiki ini aplikasi sehingaa saya bisa membuka lagi seperti dlu, aplikasi JMO sudah diperbarui tetap saja tidak bisa dibuka 🤦🏼‍♂️",tulung baca tulunggg inj parah aplikasi jmo tidak bisa buka perangkat android buka selalu force close trus bisa bagaimana mw ngecek saldo jht kl gin terus tanggap keluh baik aplikasi sehingaa bisa buka dlu aplikasi jmo baru tetap tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.4588,2.62,1.0,Situr Z,2026-04-25 08:56:18,1.0,Tidak relevan dengan pertanyaan manapun,0,0.205,0.57,0.224,low,True
"Tolong developer nya disupport dong untuk hp Huawei. Sya kasih bintang 1 dlu, klo sudah bisa akan sya full kan bintang nya. Update : masih tidak ada perubahan, aplikasi selalu berhenti dan keluar, device Huawei pura 80",developer nya disupport dong hp huawei sya kasih bintang dlu klo bisa sya full kan bintang nya update tidak ubah aplikasi selalu henti keluar device huawei pura,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,actual_0_predicted_1,negative,-0.1779,3.47,1.0,Muh. Abu Amir,2026-04-25 06:09:36,0.0,Tidak relevan dengan pertanyaan manapun,0,0.077,0.871,0.052,moderate,True
"Saya tidak bisa tau No VA pembayaran saya, saya tidak sengaja menutup, saya baru mulai daftar.",tidak bisa tau no va bayar tidak sengaja tutup baru mulai daftar,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.5859,2.24,1.0,Septiawan Zaid,2026-04-25 04:17:00,0.0,Tidak relevan dengan pertanyaan manapun,0,0.402,0.488,0.11,low,True
terbaik,baik,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.4588,5.38,5.0,Bagus Cahyadi,2026-04-25 01:49:17,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
Aplikasi cacat. Developer tolong buat biometrik fotonya dibenerin lagi. Bukannya mempermudah malah mempersulit pengguna. Masa 100% harus sesuai foto KTP. Biometrik rasis body shaming.,aplikasi cacat developer buat biometrik foto dibenerin bukan mudah malah sulit guna masa sesuai foto ktp biometrik ras body shaming,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.6597,5.98,1.0,Putri Leo,2026-04-25 01:17:34,0.0,Tidak relevan dengan pertanyaan manapun,0,0.183,0.49,0.327,high,True
apk tidak bisa dibuka,aplikasi tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,3.0,Hary Yanto,2026-04-24 14:39:27,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True
"selamat malam buka aplikasi JMO kenapa tidak bisa login sblumnya 3hari llu buka lncar pdahal email dan pass sdah benar, klik login namun tidak ada keterangan apa2, mjon segera d bntu",selamat malam buka aplikasi jmo tidak bisa login sblumnya hari llu buka lncar pdahal email pass sdah benar klik login tidak terang apa mjon segera d bntu,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,negative,-0.1531,3.54,2.0,Agus Wina,2026-04-24 13:14:49,0.0,Relevan dengan P1 (mudah digunakan),1,0.141,0.641,0.218,moderate,False
bagus,bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,RAPLIS 26,2026-04-24 11:56:31,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
sangat baik,sangat baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Sugito Wibowo,2026-04-24 11:11:58,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.25,0.75,high,False
saya tidak bisa buka aplikasi ini.,tidak bisa buka aplikasi,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,negative,-0.2023,3.39,5.0,Mahyudin Yudin,2026-04-24 10:51:54,0.0,Tidak relevan dengan pertanyaan manapun,0,0.393,0.357,0.25,moderate,True
mudah ..praktis ..!!,mudah praktis,1,1,3,Usefulness + Ease of Use,2,Ease of Use,False,actual_3_predicted_2,positive,0.8074,6.42,5.0,Japra Ragil,2026-04-24 08:03:00,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True
baik,baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Anis Fauziyah,2026-04-24 07:51:40,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
mantap aplikasinya,mantap aplikasi,1,1,3,Usefulness + Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_3_predicted_0,positive,0.5859,5.76,5.0,Berlin Sianturi,2026-04-24 07:02:11,0.0,Relevan dengan P1 dan P3,3,0.0,0.208,0.792,high,False
good,good,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4404,5.32,5.0,Lili Jajuli,2026-04-24 06:52:17,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
Sangat baik,sangat baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Bang ari,2026-04-24 06:08:01,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.25,0.75,high,False
aplikasi yang bagus,aplikasi bagus,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.5267,5.58,5.0,Yttta Rawr,2026-04-24 06:07:47,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.227,0.773,high,False
sangat luar baiasa,sangat luar baiasa,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,neutral,0.0,4.0,5.0,kevin shaputra,2026-04-24 06:00:03,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,1.0,0.0,moderate,False
terbaik,baik,1,0,2,Ease of Use,0,Tidak relevan dengan UMUX-Lite,False,actual_2_predicted_0,positive,0.4588,5.38,5.0,Deni Alvin C.,2026-04-24 04:01:35,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,False
pelayanannya buruk susah dan sangat ribet serta memakan waktu yang lama kalau kita klaim malah diputer2 apalagi saldo udah di atas 10jt pasti sulit dan lama pelayanannya,layan buruk susah sangat ribet makan waktu lama kalau klaim malah puter saldo udah atas jt sulit lama layan,1,0,2,Ease of Use,3,Usefulness + Ease of Use,False,actual_2_predicted_3,negative,-0.9628,1.11,1.0,TVI zero,2026-04-24 03:03:57,0.0,Relevan dengan P1 (mudah digunakan),1,0.59,0.265,0.146,low,True
bagus sekali,bagus sekali,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5267,5.58,5.0,Al Furqan,2026-04-24 01:35:54,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.227,0.773,high,False
aplikasi sangat cepat untuk proses klaim jht,aplikasi sangat cepat proses klaim jht,1,0,2,Ease of Use,3,Usefulness + Ease of Use,False,actual_2_predicted_3,positive,0.7845,6.35,5.0,Wawan Wawansani,2026-04-24 01:02:30,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.183,0.817,high,True
"apk nya tidak bisa digunakan/dibuka sama sekali Puyak sya,tolong diperiksa kembali.Trimakasih",aplikasi nya tidak bisa guna buka sama sekali puyak sya periksa trimakasih,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,actual_0_predicted_2,positive,0.34,5.02,1.0,Tri Kustanto,2026-04-23 18:14:03,0.0,Tidak relevan dengan pertanyaan manapun,0,0.139,0.57,0.291,high,True
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,positive,0.5859,5.76,5.0,Adit Adit,2026-04-23 14:45:03,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False
trimakasih,trimakasih,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,actual_1_predicted_0,neutral,0.0,4.0,5.0,Tri Ayu,2026-04-23 10:39:37,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,1.0,0.0,moderate,False
